"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Posts","2","0","Delete post","0"
"0","","0","Posts","2","0","Update post","0"
"0","","0","Todos","2","0","Delete todo","0"
"0","","0","Posts","2","0","Get all posts","0"
"0","","0","Todos","2","0","Get all todos","0"
"0","","0","Comments","1","0","Delete comment","0"
"0","","0","Todos","1","0","Partial update todo","0"
"0","","0","Posts","2","0","Get single post","0"
"0","","0","Users","2","0","Update user","0"
"0","","0","Users","2","0","Get all users","0"
"0","","0","Health","1","0","Health check","0"
"0","","0","Todos","2","0","Get single todo","0"
"0","","0","Users","2","0","Get single user","0"
"0","","0","Users","2","0","Delete user","0"
"0","","0","Users","1","0","Create user","0"
"0","","0","Todos","2","0","Update todo","0"
"0","","0","Posts","1","0","Search posts","0"
"0","","0","Users","1","0","Partial update user","0"
"0","","0","Posts","1","0","Create post","0"
"0","","0","Comments","2","0","Get single comment","0"
"0","","0","Comments","2","0","Get all comments","0"
"0","","0","Todos","1","0","Create todo","0"
"0","","0","Comments","1","0","Create comment","0"
"0","","0","Posts","1","0","Partial update post","0"
